user_id,date,features
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-10,"{""morning_mood"": 4.5, ""sleep_hours"": 6.2, ""sleep_quality"": ""light"", ""physical_energy"": 3.4, ""screen_hours"": 2.5, ""focus_sessions"": 1, ""hours_since_meal"": 4.3, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.33, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-11,"{""morning_mood"": 3.8, ""sleep_hours"": 7.8, ""sleep_quality"": ""normal"", ""physical_energy"": 4.1, ""screen_hours"": 2.2, ""focus_sessions"": 2, ""hours_since_meal"": 2.7, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.39, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-12,"{""morning_mood"": 3.4, ""sleep_hours"": 7.8, ""sleep_quality"": ""normal"", ""physical_energy"": 3.6, ""screen_hours"": 2.7, ""focus_sessions"": 0, ""hours_since_meal"": 5.0, ""had_breakfast"": true, ""has_event_today"": true, ""nocturnal_ratio"": 0.3, ""stress_level"": ""medium""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-13,"{""morning_mood"": 3.1, ""sleep_hours"": 7.9, ""sleep_quality"": ""deep"", ""physical_energy"": 3.7, ""screen_hours"": 3.1, ""focus_sessions"": 3, ""hours_since_meal"": 4.1, ""had_breakfast"": false, ""has_event_today"": false, ""nocturnal_ratio"": 0.39, ""stress_level"": ""medium""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-14,"{""morning_mood"": 3.0, ""sleep_hours"": 8.7, ""sleep_quality"": ""interrupted"", ""physical_energy"": 4.4, ""screen_hours"": 3.7, ""focus_sessions"": 2, ""hours_since_meal"": 4.8, ""had_breakfast"": false, ""has_event_today"": false, ""nocturnal_ratio"": 0.47, ""stress_level"": ""medium""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-15,"{""morning_mood"": 3.3, ""sleep_hours"": 8.6, ""sleep_quality"": ""light"", ""physical_energy"": 3.6, ""screen_hours"": 2.7, ""focus_sessions"": 0, ""hours_since_meal"": 5.6, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.26, ""stress_level"": ""medium""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-16,"{""morning_mood"": 2.7, ""sleep_hours"": 5.6, ""sleep_quality"": ""light"", ""physical_energy"": 2.7, ""screen_hours"": 3.5, ""focus_sessions"": 0, ""hours_since_meal"": 5.3, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.46, ""stress_level"": ""medium""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-17,"{""morning_mood"": 3.5, ""sleep_hours"": 5.6, ""sleep_quality"": ""interrupted"", ""physical_energy"": 3.8, ""screen_hours"": 2.2, ""focus_sessions"": 1, ""hours_since_meal"": 3.4, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.42, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-18,"{""morning_mood"": 3.3, ""sleep_hours"": 8.5, ""sleep_quality"": ""deep"", ""physical_energy"": 4.3, ""screen_hours"": 2.6, ""focus_sessions"": 3, ""hours_since_meal"": 3.8, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.57, ""stress_level"": ""medium""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-19,"{""morning_mood"": 2.7, ""sleep_hours"": 6.3, ""sleep_quality"": ""light"", ""physical_energy"": 2.8, ""screen_hours"": 4.4, ""focus_sessions"": 1, ""hours_since_meal"": 5.0, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.48, ""stress_level"": ""medium""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-20,"{""morning_mood"": 2.6, ""sleep_hours"": 7.5, ""sleep_quality"": ""light"", ""physical_energy"": 4.1, ""screen_hours"": 4.6, ""focus_sessions"": 0, ""hours_since_meal"": 6.0, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.44, ""stress_level"": ""medium""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-21,"{""morning_mood"": 1.9, ""sleep_hours"": 7.2, ""sleep_quality"": ""deep"", ""physical_energy"": 4.2, ""screen_hours"": 4.2, ""focus_sessions"": 0, ""hours_since_meal"": 3.1, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.32, ""stress_level"": ""high""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-22,"{""morning_mood"": 2.4, ""sleep_hours"": 7.5, ""sleep_quality"": ""normal"", ""physical_energy"": 3.3, ""screen_hours"": 3.9, ""focus_sessions"": 2, ""hours_since_meal"": 4.6, ""had_breakfast"": false, ""has_event_today"": false, ""nocturnal_ratio"": 0.48, ""stress_level"": ""high""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-23,"{""morning_mood"": 1.6, ""sleep_hours"": 6.3, ""sleep_quality"": ""interrupted"", ""physical_energy"": 3.1, ""screen_hours"": 3.0, ""focus_sessions"": 0, ""hours_since_meal"": 1.9, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.14, ""stress_level"": ""high""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-24,"{""morning_mood"": 1.2, ""sleep_hours"": 7.2, ""sleep_quality"": ""interrupted"", ""physical_energy"": 3.3, ""screen_hours"": 4.5, ""focus_sessions"": 0, ""hours_since_meal"": 2.8, ""had_breakfast"": false, ""has_event_today"": true, ""nocturnal_ratio"": 0.32, ""stress_level"": ""high""}"
